Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Character/Ruler_Text_Battle_ND_0,Text,,,To think... it would end here...,,明明都……到这一步了……,
Character/Ruler_Text_Battle_ND_1,Text,,,This... can't be...,,不行……的啊……,
Character/Ruler_Text_Battle_Start_0,Text,,,Let us begin! May the Lord grant me strength.,,要上了啊！请主赐予我力量。,
Character/Ruler_Text_Battle_Start_1,Text,,,"If we cannot advance without fighting, then we shall strike down our foes!",,不战斗就不能前进的话，那就打倒敌人吧！,
Character/Ruler_Text_Field_GetItem_0,Text,,,I feel slightly stronger.,,好像稍微变强了一些呢。,
Character/Ruler_Text_Field_GetItem_1,Text,,,Further improvement. One could call it a leap forward.,,继续提升。可称之为飞跃吧。,
Character/Ruler_Text_Field_Idle_0,Text,,,"I will remain by your side always. Through suffering and sorrow, we shall overcome them together! Come, let us strive onward, Master!    ",,无论何时，都与您相伴。无论是苦难还是悲叹，只要与您在一起，一定能够克服！来吧，一起努力吧，御主！,
Character/Ruler_Text_Field_Idle_1,Text,,,"Indeed, I am your Servant. My duty is to protect and guide you to the best of my ability.",,嗯，我确实是您的从者。我的职责是尽可能保护您、引导您。,
Character/Ruler_Text_Field_Idle_2,Text,,,"As your Servant and you as Master, we must continue working together!",,我作为从者，您作为御主，我们彼此今后也要一起努力哦！,
Character/Ruler_Text_Field_Idle_3,Text,,,"Master, you won't become a proper Master if we don't venture out soon.",,御主，再不出门的话，可当不了一个优秀的御主哦？,
Character/Ruler_Text_Field_Idle_4,Text,,,"Though I know not of chivalric codes, I understand what a standard-bearer must do. Stay close, Master.",,尽管我不知道什么是骑士的准则，但作为一名持旗之人该做什么，我还是很清楚的。一定要紧紧跟上我哦，御主。,
Character/Ruler_Text_Field_Potion_P_0,Text,,,I can endure!,,还能坚持！,
Character/Ruler_Text_PharosLeader_0,Text,,,"Forgive me, but I shall crush you!",,非常抱歉，但我要击溃你！,
Character/Ruler_Text_PharosLeader_1,Text,,,"...Ah, forgive me, Master.",,……啊，对不起，御主。,
Character/Ruler_Text_PharosLeader_2,Text,,,"Now, prepare yourself!",,来，觉悟吧！,
Character/Ruler_Text_Witch_0,Text,,,Leave it to me.,,交给我吧。,
Character/Ruler_Text_Witch_1,Text,,,Understood.,,是。,
Character/Saber_Text_Battle_AllyND_0,Text,,,Tend to the wounded. The battle continues.,,为伤者治疗。战斗还将继续。,
Character/Saber_Text_Battle_AllyND_1,Text,,,Still lacking refinement.,,还不够熟练呢。,
Character/Saber_Text_Battle_Cri_0,Text,,,Witness my full power...!,,让你见识我的全力……！,
Character/Saber_Text_Battle_Cri_1,Text,,,The time to decide the outcome has come...,,到一决胜负的时候了……,
Character/Saber_Text_Battle_Healed_0,Text,,,Splendid.,,真不错。,
Character/Saber_Text_Battle_Idle_0,Text,,,Stay calm and vigilant.,,冷静下来，不要掉以轻心。,
Character/Saber_Text_Battle_Idle_1,Text,,,"All forces, prepare to charge...!",,全员，突击准备……！,
Character/Saber_Text_Battle_Kill_0,Text,,,Target eliminated!,,得手了！,
Character/Saber_Text_Battle_Kill_1,Text,,,Bring victory to this path!,,为这条道路带来胜利！,
Character/Saber_Text_Battle_ND_0,Text,,,To fall... here of all places...,,居然……在这种地方……,
Character/Saber_Text_Battle_ND_1,Text,,,Mere child's play...!,,区区这种水平……！,
Character/Saber_Text_Battle_Start_0,Text,,,"Let us begin, Master.",,让我们开始吧，御主。,
Character/Saber_Text_Battle_Start_1,Text,,,Come at me with everything you've got.,,拼尽所有实力放马过来吧。,
Character/Saber_Text_Character_0,Text,,,"Even restored to my kingly form, our oath remains. My holy sword is yours to command.",,就算恢复成作为王那时的模样，我们的誓约也不会改变。我的圣剑任由您的差遣。,
Character/Saber_Text_Character_1,Text,,,"Your instructions bring strange comfort. A warmth I cannot explain. Should my blade retain any power, I shall wield it wholeheartedly for you, Master.",,您的指示让人感觉很舒心。有种不可思议的暖意。若我的剑还存有些许力量，一定会全心全意帮助您的，御主。,
Character/Saber_Text_Field_GetItem_0,Text,,,We grow stronger still.,,又变强了一些呢。,
Character/Saber_Text_Field_Idle_0,Text,,,"This is humanity's battle for salvation. Our burden is immense, Master.",,这是为了拯救人类的战斗。我们的责任无比沉重，御主。,
Character/Saber_Text_Field_Idle_1,Text,,,"I once sought the Holy Grail for personal reasons, but that is past. Evil must be corrected.",,我曾怀着某种原因执着于圣杯探索，但那已经是过去的事了。若为邪恶之物，那就必须纠正。,
Character/Saber_Text_Field_Idle_2,Text,,,"A Servant must obey their Master, but mutual trust is ideal.",,从者必须服从御主，但如果双方能相互信赖就好了。,
Character/Saber_Text_Field_Idle_3,Text,,,Yet... I confess. I once wondered: what life might I have led had I never drawn the Sword of Selection?,,但是……对。我曾经有过小小的幻想。如若我没有拔出王之剑，那我将过上怎样的人生呢。,
Character/Saber_Text_Field_Idle_4,Text,,,Hmm. I sense potential gains... Let us investigate.,,嗯。有种收获的预感……去看看情况吧。,
Character/Saber_Text_Field_Potion_P_0,Text,,,What do you think? I hope this meets your expectations.,,您觉得如何？ 若能满足您的期待就好了。,
Character/Saber_Text_PharosLeader_0,Text,,,A fine opportunity for instruction.,,这是个好机会，我来好好教育你。,
Character/Saber_Text_PharosLeader_1,Text,,,"Forgive me, Master...",,对不起，御主……,
Character/Saber_Text_PharosLeader_2,Text,,,Simply defeat the enemy. That is all.,,打倒敌人，仅此而已。,
Character/Saber_Text_Witch_0,Text,,,Leave it to me!,,交给我吧！,
Character/Saber_Text_Witch_1,Text,,,Very well—let us settle this!,,嗯，让我们分个胜负吧——,
,,,,,,,

